ref_date,sector,value,yoy_pct
2019-03-01,All Retail Trade,7546738,NA
2019-03-01,Motor vehicle and parts dealers,2000289,NA
2019-03-01,Building material and garden equipment and supplies dealers,435464,NA
2019-03-01,Food and beverage retailers,1618155,NA
2019-03-01,"Furniture, home furnishings stores, electronics and appliances retailers",430793,NA
2019-03-01,General merchandise retailers,720979,NA
2019-03-01,Health and personal care retailers,578954,NA
2019-03-01,Gasoline stations and fuel vendors,793975,NA
2019-03-01,Clothing and clothing accessories retailers,395162,NA
2019-03-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",190544,NA
2019-03-01,Miscellaneous retailers,279909,NA
2019-04-01,All Retail Trade,7478757,NA
2019-04-01,Motor vehicle and parts dealers,1892675,NA
2019-04-01,Building material and garden equipment and supplies dealers,512440,NA
2019-04-01,Food and beverage retailers,1585787,NA
2019-04-01,"Furniture, home furnishings stores, electronics and appliances retailers",447217,NA
2019-04-01,General merchandise retailers,772985,NA
2019-04-01,Health and personal care retailers,553415,NA
2019-04-01,Gasoline stations and fuel vendors,792412,NA
2019-04-01,Clothing and clothing accessories retailers,369309,NA
2019-04-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",199196,NA
2019-04-01,Miscellaneous retailers,262047,NA
2019-05-01,All Retail Trade,8221289,NA
2019-05-01,Motor vehicle and parts dealers,2024647,NA
2019-05-01,Building material and garden equipment and supplies dealers,612521,NA
2019-05-01,Food and beverage retailers,1754966,NA
2019-05-01,"Furniture, home furnishings stores, electronics and appliances retailers",464873,NA
2019-05-01,General merchandise retailers,839080,NA
2019-05-01,Health and personal care retailers,564500,NA
2019-05-01,Gasoline stations and fuel vendors,918472,NA
2019-05-01,Clothing and clothing accessories retailers,436435,NA
2019-05-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",204724,NA
2019-05-01,Miscellaneous retailers,300105,NA
2019-06-01,All Retail Trade,7857997,NA
2019-06-01,Motor vehicle and parts dealers,1868381,NA
2019-06-01,Building material and garden equipment and supplies dealers,536062,NA
2019-06-01,Food and beverage retailers,1740553,NA
2019-06-01,"Furniture, home furnishings stores, electronics and appliances retailers",452546,NA
2019-06-01,General merchandise retailers,821180,NA
2019-06-01,Health and personal care retailers,556655,NA
2019-06-01,Gasoline stations and fuel vendors,830903,NA
2019-06-01,Clothing and clothing accessories retailers,424455,NA
2019-06-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",211744,NA
2019-06-01,Miscellaneous retailers,316227,NA
2019-07-01,All Retail Trade,7967639,NA
2019-07-01,Motor vehicle and parts dealers,1916312,NA
2019-07-01,Building material and garden equipment and supplies dealers,528305,NA
2019-07-01,Food and beverage retailers,1714870,NA
2019-07-01,"Furniture, home furnishings stores, electronics and appliances retailers",463221,NA
2019-07-01,General merchandise retailers,804008,NA
2019-07-01,Health and personal care retailers,595506,NA
2019-07-01,Gasoline stations and fuel vendors,895303,NA
2019-07-01,Clothing and clothing accessories retailers,419766,NA
2019-07-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",224856,NA
2019-07-01,Miscellaneous retailers,311832,NA
2019-08-01,All Retail Trade,8155044,NA
2019-08-01,Motor vehicle and parts dealers,1950564,NA
2019-08-01,Building material and garden equipment and supplies dealers,470107,NA
2019-08-01,Food and beverage retailers,1836874,NA
2019-08-01,"Furniture, home furnishings stores, electronics and appliances retailers",509486,NA
2019-08-01,General merchandise retailers,813376,NA
2019-08-01,Health and personal care retailers,585996,NA
2019-08-01,Gasoline stations and fuel vendors,871470,NA
2019-08-01,Clothing and clothing accessories retailers,424102,NA
2019-08-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",231887,NA
2019-08-01,Miscellaneous retailers,348336,NA
2019-09-01,All Retail Trade,7548892,NA
2019-09-01,Motor vehicle and parts dealers,1803661,NA
2019-09-01,Building material and garden equipment and supplies dealers,475310,NA
2019-09-01,Food and beverage retailers,1572857,NA
2019-09-01,"Furniture, home furnishings stores, electronics and appliances retailers",482659,NA
2019-09-01,General merchandise retailers,784498,NA
2019-09-01,Health and personal care retailers,572407,NA
2019-09-01,Gasoline stations and fuel vendors,798390,NA
2019-09-01,Clothing and clothing accessories retailers,404936,NA
2019-09-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",223771,NA
2019-09-01,Miscellaneous retailers,334207,NA
2019-10-01,All Retail Trade,7734984,NA
2019-10-01,Motor vehicle and parts dealers,1855307,NA
2019-10-01,Building material and garden equipment and supplies dealers,472009,NA
2019-10-01,Food and beverage retailers,1646297,NA
2019-10-01,"Furniture, home furnishings stores, electronics and appliances retailers",459919,NA
2019-10-01,General merchandise retailers,823276,NA
2019-10-01,Health and personal care retailers,586037,NA
2019-10-01,Gasoline stations and fuel vendors,825915,NA
2019-10-01,Clothing and clothing accessories retailers,420577,NA
2019-10-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",210645,NA
2019-10-01,Miscellaneous retailers,339084,NA
2019-11-01,All Retail Trade,7817732,NA
2019-11-01,Motor vehicle and parts dealers,1741125,NA
2019-11-01,Building material and garden equipment and supplies dealers,439996,NA
2019-11-01,Food and beverage retailers,1631352,NA
2019-11-01,"Furniture, home furnishings stores, electronics and appliances retailers",598708,NA
2019-11-01,General merchandise retailers,866979,NA
2019-11-01,Health and personal care retailers,595390,NA
2019-11-01,Gasoline stations and fuel vendors,742707,NA
2019-11-01,Clothing and clothing accessories retailers,503895,NA
2019-11-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",236124,NA
2019-11-01,Miscellaneous retailers,349061,NA
2019-12-01,All Retail Trade,8182528,NA
2019-12-01,Motor vehicle and parts dealers,1468801,NA
2019-12-01,Building material and garden equipment and supplies dealers,383956,NA
2019-12-01,Food and beverage retailers,1789689,NA
2019-12-01,"Furniture, home furnishings stores, electronics and appliances retailers",630456,NA
2019-12-01,General merchandise retailers,1014743,NA
2019-12-01,Health and personal care retailers,697539,NA
2019-12-01,Gasoline stations and fuel vendors,725901,NA
2019-12-01,Clothing and clothing accessories retailers,595410,NA
2019-12-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",320640,NA
2019-12-01,Miscellaneous retailers,393851,NA
2020-01-01,All Retail Trade,6664927,NA
2020-01-01,Motor vehicle and parts dealers,1482405,NA
2020-01-01,Building material and garden equipment and supplies dealers,347671,NA
2020-01-01,Food and beverage retailers,1563958,NA
2020-01-01,"Furniture, home furnishings stores, electronics and appliances retailers",405781,NA
2020-01-01,General merchandise retailers,647911,NA
2020-01-01,Health and personal care retailers,558006,NA
2020-01-01,Gasoline stations and fuel vendors,746585,NA
2020-01-01,Clothing and clothing accessories retailers,322397,NA
2020-01-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",199355,NA
2020-01-01,Miscellaneous retailers,313039,NA
2020-02-01,All Retail Trade,6744891,NA
2020-02-01,Motor vehicle and parts dealers,1495917,NA
2020-02-01,Building material and garden equipment and supplies dealers,380549,NA
2020-02-01,Food and beverage retailers,1542509,NA
2020-02-01,"Furniture, home furnishings stores, electronics and appliances retailers",406744,NA
2020-02-01,General merchandise retailers,708150,NA
2020-02-01,Health and personal care retailers,552019,NA
2020-02-01,Gasoline stations and fuel vendors,762294,NA
2020-02-01,Clothing and clothing accessories retailers,317839,NA
2020-02-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",200157,NA
2020-02-01,Miscellaneous retailers,297251,NA
2020-03-01,All Retail Trade,7040476,-6.708355318549552
2020-03-01,Motor vehicle and parts dealers,1359382,-32.040720115943245
2020-03-01,Building material and garden equipment and supplies dealers,490499,12.638243345029675
2020-03-01,Food and beverage retailers,1993879,23.219283690375757
2020-03-01,"Furniture, home furnishings stores, electronics and appliances retailers",405282,-5.921869668262946
2020-03-01,General merchandise retailers,813555,12.840318511357474
2020-03-01,Health and personal care retailers,608504,5.104032444719264
2020-03-01,Gasoline stations and fuel vendors,618751,-22.069208728234514
2020-03-01,Clothing and clothing accessories retailers,201248,-49.07202615636119
2020-03-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",175159,-8.074250566798224
2020-03-01,Miscellaneous retailers,330006,17.89760243507712
2020-04-01,All Retail Trade,5943613,-20.526726566995023
2020-04-01,Motor vehicle and parts dealers,1147891,-39.350865838033464
2020-04-01,Building material and garden equipment and supplies dealers,497568,-2.9021934275232253
2020-04-01,Food and beverage retailers,1834170,15.663074549104007
2020-04-01,"Furniture, home furnishings stores, electronics and appliances retailers",319306,-28.601551372152667
2020-04-01,General merchandise retailers,732065,-5.293763785843197
2020-04-01,Health and personal care retailers,499722,-9.702122277133796
2020-04-01,Gasoline stations and fuel vendors,394606,-50.20191516534328
2020-04-01,Clothing and clothing accessories retailers,97566,-73.58147242552984
2020-04-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",124232,-37.63328580895199
2020-04-01,Miscellaneous retailers,277778,6.003121577426951
2020-05-01,All Retail Trade,7319615,-10.967550222355637
2020-05-01,Motor vehicle and parts dealers,1608185,-20.56961040615969
2020-05-01,Building material and garden equipment and supplies dealers,644822,5.273451848997834
2020-05-01,Food and beverage retailers,1968594,12.172771438307063
2020-05-01,"Furniture, home furnishings stores, electronics and appliances retailers",389083,-16.303377481591752
2020-05-01,General merchandise retailers,919609,9.597297039614826
2020-05-01,Health and personal care retailers,574446,1.7619131975199265
2020-05-01,Gasoline stations and fuel vendors,504722,-45.04764434843958
2020-05-01,Clothing and clothing accessories retailers,180556,-58.62934915852303
2020-05-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",172467,-15.756335358824568
2020-05-01,Miscellaneous retailers,318673,6.187167824594719
2020-06-01,All Retail Trade,8095529,3.022805938968931
2020-06-01,Motor vehicle and parts dealers,1963882,5.111430698556663
2020-06-01,Building material and garden equipment and supplies dealers,578673,7.948893971219739
2020-06-01,Food and beverage retailers,1866355,7.227702919704249
2020-06-01,"Furniture, home furnishings stores, electronics and appliances retailers",495694,9.534500360184373
2020-06-01,General merchandise retailers,905199,10.231496139701402
2020-06-01,Health and personal care retailers,565043,1.5068579281601657
2020-06-01,Gasoline stations and fuel vendors,725154,-12.7269970140919
2020-06-01,Clothing and clothing accessories retailers,331451,-21.911392255951746
2020-06-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",227204,7.3012694574580594
2020-06-01,Miscellaneous retailers,354461,12.090681693846506
2020-07-01,All Retail Trade,8473735,6.351894206050246
2020-07-01,Motor vehicle and parts dealers,1928252,0.6230718171153837
2020-07-01,Building material and garden equipment and supplies dealers,598651,13.315414391308057
2020-07-01,Food and beverage retailers,2050441,19.56830546921924
2020-07-01,"Furniture, home furnishings stores, electronics and appliances retailers",518772,11.992331953862202
2020-07-01,General merchandise retailers,937334,16.582670819195823
2020-07-01,Health and personal care retailers,588954,-1.1002408036191125
2020-07-01,Gasoline stations and fuel vendors,825369,-7.811210282999159
2020-07-01,Clothing and clothing accessories retailers,354726,-15.494346850388075
2020-07-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",230980,2.7235208311096937
2020-07-01,Miscellaneous retailers,348184,11.65755919854281
2020-08-01,All Retail Trade,8296003,1.7284885280815177
2020-08-01,Motor vehicle and parts dealers,1792183,-8.119754081383645
2020-08-01,Building material and garden equipment and supplies dealers,567264,20.66699708789701
2020-08-01,Food and beverage retailers,2006284,9.222733840208974
2020-08-01,"Furniture, home furnishings stores, electronics and appliances retailers",518862,1.8402860922576814
2020-08-01,General merchandise retailers,893287,9.82460756157053
2020-08-01,Health and personal care retailers,605662,3.3559956040655647
2020-08-01,Gasoline stations and fuel vendors,795861,-8.676030155943405
2020-08-01,Clothing and clothing accessories retailers,377441,-11.002306049016507
2020-08-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",237216,2.2981020928297013
2020-08-01,Miscellaneous retailers,402086,15.430503881309999
2020-09-01,All Retail Trade,8364999,10.810950799137142
2020-09-01,Motor vehicle and parts dealers,2049399,13.624400594124953
2020-09-01,Building material and garden equipment and supplies dealers,596780,25.555952957017535
2020-09-01,Food and beverage retailers,1838996,16.9207372316746
2020-09-01,"Furniture, home furnishings stores, electronics and appliances retailers",556627,15.325105302086971
2020-09-01,General merchandise retailers,874444,11.465421199289217
2020-09-01,Health and personal care retailers,605022,5.697868824105923
2020-09-01,Gasoline stations and fuel vendors,752431,-5.756459875499442
2020-09-01,Clothing and clothing accessories retailers,369426,-8.769286998439263
2020-09-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",233589,4.387521171197339
2020-09-01,Miscellaneous retailers,394425,18.01817436498936
2020-10-01,All Retail Trade,8585523,10.996002060249888
2020-10-01,Motor vehicle and parts dealers,2088596,12.574145410975103
2020-10-01,Building material and garden equipment and supplies dealers,600942,27.315792707342435
2020-10-01,Food and beverage retailers,1941598,17.937285921070135
2020-10-01,"Furniture, home furnishings stores, electronics and appliances retailers",533959,16.098486907477195
2020-10-01,General merchandise retailers,920368,11.793371846136647
2020-10-01,Health and personal care retailers,575134,-1.8604627352880487
2020-10-01,Gasoline stations and fuel vendors,761928,-7.7474074208604975
2020-10-01,Clothing and clothing accessories retailers,428600,1.9076173922967676
2020-10-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",262251,24.499038666951513
2020-10-01,Miscellaneous retailers,380297,12.154215474631647
2020-11-01,All Retail Trade,8402494,7.479944311214548
2020-11-01,Motor vehicle and parts dealers,1770834,1.7063105750592333
2020-11-01,Building material and garden equipment and supplies dealers,522253,18.6949426812971
2020-11-01,Food and beverage retailers,1855103,13.71567877441533
2020-11-01,"Furniture, home furnishings stores, electronics and appliances retailers",684571,14.341381775423079
2020-11-01,General merchandise retailers,1000547,15.406140171791938
2020-11-01,Health and personal care retailers,649034,9.009892675389231
2020-11-01,Gasoline stations and fuel vendors,651683,-12.25570783633384
2020-11-01,Clothing and clothing accessories retailers,460966,-8.519433612161265
2020-11-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",302648,28.17333265572326
2020-11-01,Miscellaneous retailers,405394,16.138439986134223
2020-12-01,All Retail Trade,8984636,9.80269178425055
2020-12-01,Motor vehicle and parts dealers,1789136,21.809285260562874
2020-12-01,Building material and garden equipment and supplies dealers,507753,32.24249653606142
2020-12-01,Food and beverage retailers,2079890,16.215163640163176
2020-12-01,"Furniture, home furnishings stores, electronics and appliances retailers",749003,18.803374065755584
2020-12-01,General merchandise retailers,1072305,5.672569310653053
2020-12-01,Health and personal care retailers,733078,5.094912255802186
2020-12-01,Gasoline stations and fuel vendors,607447,-16.318203170955815
2020-12-01,Clothing and clothing accessories retailers,491764,-17.407500713793855
2020-12-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",344236,7.359031936127747
2020-12-01,Miscellaneous retailers,454981,15.52109808023847
2021-01-01,All Retail Trade,7575282,13.658889287159482
2021-01-01,Motor vehicle and parts dealers,1763098,18.934973910638455
2021-01-01,Building material and garden equipment and supplies dealers,501091,44.12792553879961
2021-01-01,Food and beverage retailers,1775457,13.523317122326816
2021-01-01,"Furniture, home furnishings stores, electronics and appliances retailers",510132,25.71608823478675
2021-01-01,General merchandise retailers,754362,16.42988002981891
2021-01-01,Health and personal care retailers,634734,13.750389780755047
2021-01-01,Gasoline stations and fuel vendors,664720,-10.965261825512162
2021-01-01,Clothing and clothing accessories retailers,294418,-8.678430630557976
2021-01-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",216790,8.745704898297003
2021-01-01,Miscellaneous retailers,380288,21.482626765355107
2021-02-01,All Retail Trade,7337680,8.788711337218057
2021-02-01,Motor vehicle and parts dealers,1730069,15.652740091863393
2021-02-01,Building material and garden equipment and supplies dealers,479173,25.916242060812134
2021-02-01,Food and beverage retailers,1672471,8.425364130776547
2021-02-01,"Furniture, home furnishings stores, electronics and appliances retailers",451586,11.024624825443041
2021-02-01,General merchandise retailers,784241,10.745039892678099
2021-02-01,Health and personal care retailers,578015,4.709258195822974
2021-02-01,Gasoline stations and fuel vendors,680972,-10.668062453594018
2021-02-01,Clothing and clothing accessories retailers,292210,-8.063516434421203
2021-02-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",200176,0.009492548349543384
2021-02-01,Miscellaneous retailers,379825,27.779216890775803
2021-03-01,All Retail Trade,8698896,23.55550959906687
2021-03-01,Motor vehicle and parts dealers,2193331,61.34765650861935
2021-03-01,Building material and garden equipment and supplies dealers,702084,43.1366832552156
2021-03-01,Food and beverage retailers,1797115,-9.868402245071039
2021-03-01,"Furniture, home furnishings stores, electronics and appliances retailers",513113,26.606412325245145
2021-03-01,General merchandise retailers,891916,9.631924086263366
2021-03-01,Health and personal care retailers,660351,8.52040413867452
2021-03-01,Gasoline stations and fuel vendors,851268,37.57844431766575
2021-03-01,Clothing and clothing accessories retailers,354514,76.15777548099858
2021-03-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",242000,38.1601858882501
2021-03-01,Miscellaneous retailers,406169,23.07927734647248
2021-04-01,All Retail Trade,8820307,48.39975281028559
2021-04-01,Motor vehicle and parts dealers,2275561,98.23842159229403
2021-04-01,Building material and garden equipment and supplies dealers,743386,49.40390057238409
2021-04-01,Food and beverage retailers,1836673,0.13646499506589915
2021-04-01,"Furniture, home furnishings stores, electronics and appliances retailers",485013,51.89598692163631
2021-04-01,General merchandise retailers,950748,29.872074201061373
2021-04-01,Health and personal care retailers,606259,21.319253504948744
2021-04-01,Gasoline stations and fuel vendors,854979,116.66649772177817
2021-04-01,Clothing and clothing accessories retailers,354097,262.93073406719554
2021-04-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",248749,100.22940949191836
2021-04-01,Miscellaneous retailers,381320,37.27509017992785
2021-05-01,All Retail Trade,9158833,25.12725054528142
2021-05-01,Motor vehicle and parts dealers,2277351,41.61001377329101
2021-05-01,Building material and garden equipment and supplies dealers,793349,23.033798474617797
2021-05-01,Food and beverage retailers,1945917,-1.151938896491611
2021-05-01,"Furniture, home furnishings stores, electronics and appliances retailers",544543,39.955485076448994
2021-05-01,General merchandise retailers,1011956,10.041985235029237
2021-05-01,Health and personal care retailers,621142,8.12887547306449
2021-05-01,Gasoline stations and fuel vendors,844221,67.2645535562151
2021-05-01,Clothing and clothing accessories retailers,361365,100.14012273200557
2021-05-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",250989,45.52870984014332
2021-05-01,Miscellaneous retailers,409234,28.418159053324253
2021-06-01,All Retail Trade,9206753,13.726391443968634
2021-06-01,Motor vehicle and parts dealers,2384773,21.431582956613493
2021-06-01,Building material and garden equipment and supplies dealers,700953,21.131105131913873
2021-06-01,Food and beverage retailers,1895117,1.5410787336814336
2021-06-01,"Furniture, home furnishings stores, electronics and appliances retailers",530670,7.055965979011236
2021-06-01,General merchandise retailers,974605,7.6674852711945185
2021-06-01,Health and personal care retailers,623354,10.319745576885309
2021-06-01,Gasoline stations and fuel vendors,865115,19.300865747137852
2021-06-01,Clothing and clothing accessories retailers,452443,36.5037366005835
2021-06-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",246411,8.453636379641205
2021-06-01,Miscellaneous retailers,421616,18.945666801143133
2021-07-01,All Retail Trade,9231898,8.947211589694515
2021-07-01,Motor vehicle and parts dealers,2265564,17.493149235680818
2021-07-01,Building material and garden equipment and supplies dealers,628280,4.949294330085485
2021-07-01,Food and beverage retailers,2018967,-1.5349868638014907
2021-07-01,"Furniture, home furnishings stores, electronics and appliances retailers",536458,3.4092048144464204
2021-07-01,General merchandise retailers,985897,5.18097071054715
2021-07-01,Health and personal care retailers,597385,1.4315209676816876
2021-07-01,Gasoline stations and fuel vendors,998685,20.99860789537771
2021-07-01,Clothing and clothing accessories retailers,424330,19.62190535793824
2021-07-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",243281,5.3255693133604565
2021-07-01,Miscellaneous retailers,432783,24.29721067022035
2021-08-01,All Retail Trade,8964448,8.057434405460073
2021-08-01,Motor vehicle and parts dealers,2192736,22.350005551888398
2021-08-01,Building material and garden equipment and supplies dealers,567508,0.043013482258702496
2021-08-01,Food and beverage retailers,1892363,-5.67820906711114
2021-08-01,"Furniture, home furnishings stores, electronics and appliances retailers",533399,2.8017083540517573
2021-08-01,General merchandise retailers,959152,7.37333018391626
2021-08-01,Health and personal care retailers,597231,-1.3920305384851672
2021-08-01,Gasoline stations and fuel vendors,986239,23.921011332380914
2021-08-01,Clothing and clothing accessories retailers,424023,12.341531524132243
2021-08-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",244725,3.1654694455685917
2021-08-01,Miscellaneous retailers,451938,12.398342643116145
2021-09-01,All Retail Trade,8785290,5.024399883371178
2021-09-01,Motor vehicle and parts dealers,2122792,3.5811962433864863
2021-09-01,Building material and garden equipment and supplies dealers,579437,-2.9060960487952037
2021-09-01,Food and beverage retailers,1856508,0.9522587324822807
2021-09-01,"Furniture, home furnishings stores, electronics and appliances retailers",549168,-1.3400356073277053
2021-09-01,General merchandise retailers,952630,8.941224366568923
2021-09-01,Health and personal care retailers,615297,1.698285351607054
2021-09-01,Gasoline stations and fuel vendors,870794,15.730744746029867
2021-09-01,Clothing and clothing accessories retailers,437277,18.366601159636843
2021-09-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",243794,4.368784488995625
2021-09-01,Miscellaneous retailers,450920,14.323382138556129
2021-10-01,All Retail Trade,8831858,2.8691903801317586
2021-10-01,Motor vehicle and parts dealers,2066890,-1.0392627391798137
2021-10-01,Building material and garden equipment and supplies dealers,549837,-8.504148486875607
2021-10-01,Food and beverage retailers,1925668,-0.8204581998951355
2021-10-01,"Furniture, home furnishings stores, electronics and appliances retailers",533676,-0.053000323994911724
2021-10-01,General merchandise retailers,1019295,10.748635328477295
2021-10-01,Health and personal care retailers,611231,6.2762764851321595
2021-10-01,Gasoline stations and fuel vendors,883833,15.999543263930448
